supplement_id,experiment_scope,distribution_id,gate_regime,J,R,n,procedure,repetitions,family_failures,family_failure_rate,selected_failures,selected_failure_rate,alpha,cp_lower,cp_upper,target,status,sample_cost_per_repetition,total_sample_cost,infeasible_reason
e01-s1,sensitivity,shifted_lognormal,near,1,6,1000,bonferroni_simultaneous,1000,21.0,0.021,2.0,0.002,0.05,0.0141140519228244,0.0301004713288804,0.05,SUPPORTED,1000,1000000,
e01-s1,sensitivity,shifted_lognormal,near,1,6,1000,split_select_certify,1000,52.0,0.052,52.0,0.052,0.05,0.0409466247154681,0.06506940114929,0.05,INCONCLUSIVE,2000,2000000,
e01-s1,sensitivity,shifted_lognormal,near,1,6,3000,bonferroni_simultaneous,1000,19.0,0.019,7.0,0.007,0.05,0.0124767693558656,0.0277552860454791,0.05,SUPPORTED,3000,3000000,
e01-s1,sensitivity,shifted_lognormal,near,1,6,3000,split_select_certify,1000,42.0,0.042,42.0,0.042,0.05,0.0320849145685136,0.0539872054114184,0.05,INCONCLUSIVE,6000,6000000,
e01-s1,sensitivity,shifted_lognormal,near,8,1,1000,bonferroni_simultaneous,0,,,,,0.05,,,0.05,INFEASIBLE,1000,0,ORDER_STATISTIC_INFEASIBLE: n=1000 too small to certify eps=0.0025 at alpha_row=0.00625
e01-s1,sensitivity,shifted_lognormal,near,8,1,1000,split_select_certify,0,,,,,0.05,,,0.05,INFEASIBLE,2000,0,ORDER_STATISTIC_INFEASIBLE: n=1000 too small to certify eps=0.0025 at alpha_row=0.00625
e01-s1,sensitivity,shifted_lognormal,near,8,1,3000,bonferroni_simultaneous,1000,41.0,0.041,41.0,0.041,0.05,0.0312068610209815,0.0528711150540179,0.05,INCONCLUSIVE,3000,3000000,
e01-s1,sensitivity,shifted_lognormal,near,8,1,3000,split_select_certify,1000,33.0,0.033,33.0,0.033,0.05,0.0242485447270761,0.0438786205303716,0.05,SUPPORTED,6000,6000000,
e01-s1,sensitivity,shifted_lognormal,near,8,6,1000,bonferroni_simultaneous,0,,,,,0.05,,,0.05,INFEASIBLE,1000,0,ORDER_STATISTIC_INFEASIBLE: n=1000 too small to certify eps=0.00674846 at alpha_row=0.00104167
e01-s1,sensitivity,shifted_lognormal,near,8,6,1000,split_select_certify,0,,,,,0.05,,,0.05,INFEASIBLE,2000,0,ORDER_STATISTIC_INFEASIBLE: n=1000 too small to certify eps=0.00674846 at alpha_row=0.00104167
e01-s1,sensitivity,shifted_lognormal,near,8,6,3000,bonferroni_simultaneous,1000,14.0,0.014,5.0,0.005,0.05,0.0084832353147846,0.0218001315255021,0.05,SUPPORTED,3000,3000000,
e01-s1,sensitivity,shifted_lognormal,near,8,6,3000,split_select_certify,1000,29.0,0.029,29.0,0.029,0.05,0.0208219916940329,0.0393318759187474,0.05,SUPPORTED,6000,6000000,
