split,session_label,run_order_in_session,statistical_unit,coordinate_id,value_ns,is_infinite
calibration,CAL-01,26,selected_analysis_instance,E2E,1083570,false
calibration,CAL-01,26,selected_analysis_instance,X1,100118,false
calibration,CAL-01,26,selected_analysis_instance,X2,11446,false
calibration,CAL-01,26,selected_analysis_instance,X3,832810,false
calibration,CAL-01,26,selected_analysis_instance,X4,89196,false
calibration,CAL-01,27,selected_analysis_instance,E2E,2060945,false
calibration,CAL-01,27,selected_analysis_instance,X1,100113,false
calibration,CAL-01,27,selected_analysis_instance,X2,1140813,false
calibration,CAL-01,27,selected_analysis_instance,X3,52583,false
calibration,CAL-01,27,selected_analysis_instance,X4,75023,false
calibration,CAL-01,28,selected_analysis_instance,E2E,1087833,false
calibration,CAL-01,28,selected_analysis_instance,X1,100211,false
calibration,CAL-01,28,selected_analysis_instance,X2,22008,false
calibration,CAL-01,28,selected_analysis_instance,X3,64806,false
calibration,CAL-01,28,selected_analysis_instance,X4,108280,false
calibration,CAL-01,29,selected_analysis_instance,E2E,4089680,false
calibration,CAL-01,29,selected_analysis_instance,X1,100125,false
calibration,CAL-01,29,selected_analysis_instance,X2,2969605,false
calibration,CAL-01,29,selected_analysis_instance,X3,854465,false
calibration,CAL-01,29,selected_analysis_instance,X4,115485,false
calibration,CAL-01,30,selected_analysis_instance,E2E,4066932,false
calibration,CAL-01,30,selected_analysis_instance,X1,100159,false
calibration,CAL-01,30,selected_analysis_instance,X2,3010188,false
calibration,CAL-01,30,selected_analysis_instance,X3,828790,false
calibration,CAL-01,30,selected_analysis_instance,X4,77795,false
calibration,CAL-01,31,selected_analysis_instance,E2E,1049129,false
calibration,CAL-01,31,selected_analysis_instance,X1,100026,false
calibration,CAL-01,31,selected_analysis_instance,X2,4013,false
calibration,CAL-01,31,selected_analysis_instance,X3,840061,false
calibration,CAL-01,31,selected_analysis_instance,X4,55029,false
calibration,CAL-01,32,selected_analysis_instance,E2E,1100880,false
calibration,CAL-01,32,selected_analysis_instance,X1,100048,false
calibration,CAL-01,32,selected_analysis_instance,X2,7480,false
calibration,CAL-01,32,selected_analysis_instance,X3,835566,false
calibration,CAL-01,32,selected_analysis_instance,X4,107786,false
calibration,CAL-01,33,selected_analysis_instance,E2E,4181456,false
calibration,CAL-01,33,selected_analysis_instance,X1,100149,false
calibration,CAL-01,33,selected_analysis_instance,X2,3027321,false
calibration,CAL-01,33,selected_analysis_instance,X3,850432,false
calibration,CAL-01,33,selected_analysis_instance,X4,153554,false
calibration,CAL-01,34,selected_analysis_instance,E2E,1055236,false
calibration,CAL-01,34,selected_analysis_instance,X1,100052,false
calibration,CAL-01,34,selected_analysis_instance,X2,5658,false
calibration,CAL-01,34,selected_analysis_instance,X3,838704,false
calibration,CAL-01,34,selected_analysis_instance,X4,60822,false
calibration,CAL-01,35,selected_analysis_instance,E2E,3041689,false
calibration,CAL-01,35,selected_analysis_instance,X1,100161,false
calibration,CAL-01,35,selected_analysis_instance,X2,2100925,false
calibration,CAL-01,35,selected_analysis_instance,X3,52909,false
calibration,CAL-01,35,selected_analysis_instance,X4,58355,false
calibration,CAL-01,36,selected_analysis_instance,E2E,1053062,false
calibration,CAL-01,36,selected_analysis_instance,X1,100056,false
calibration,CAL-01,36,selected_analysis_instance,X2,5158,false
calibration,CAL-01,36,selected_analysis_instance,X3,839930,false
calibration,CAL-01,36,selected_analysis_instance,X4,57918,false
calibration,CAL-01,37,selected_analysis_instance,E2E,4138085,false
calibration,CAL-01,37,selected_analysis_instance,X1,100168,false
calibration,CAL-01,37,selected_analysis_instance,X2,3026071,false
calibration,CAL-01,37,selected_analysis_instance,X3,71974,false
calibration,CAL-01,37,selected_analysis_instance,X4,145215,false
calibration,CAL-01,38,selected_analysis_instance,E2E,4155878,false
calibration,CAL-01,38,selected_analysis_instance,X1,100137,false
calibration,CAL-01,38,selected_analysis_instance,X2,3007090,false
calibration,CAL-01,38,selected_analysis_instance,X3,841382,false
calibration,CAL-01,38,selected_analysis_instance,X4,157269,false
calibration,CAL-01,39,selected_analysis_instance,E2E,1066973,false
calibration,CAL-01,39,selected_analysis_instance,X1,100081,false
calibration,CAL-01,39,selected_analysis_instance,X2,123425,false
calibration,CAL-01,39,selected_analysis_instance,X3,53942,false
calibration,CAL-01,39,selected_analysis_instance,X4,72910,false
calibration,CAL-01,40,selected_analysis_instance,E2E,4193014,false
calibration,CAL-01,40,selected_analysis_instance,X1,100153,false
calibration,CAL-01,40,selected_analysis_instance,X2,3056808,false
calibration,CAL-01,40,selected_analysis_instance,X3,109505,false
calibration,CAL-01,40,selected_analysis_instance,X4,152223,false
calibration,CAL-01,41,selected_analysis_instance,E2E,1055067,false
calibration,CAL-01,41,selected_analysis_instance,X1,100030,false
calibration,CAL-01,41,selected_analysis_instance,X2,4840,false
calibration,CAL-01,41,selected_analysis_instance,X3,840086,false
calibration,CAL-01,41,selected_analysis_instance,X4,60111,false
calibration,CAL-01,42,selected_analysis_instance,E2E,1061195,false
calibration,CAL-01,42,selected_analysis_instance,X1,100058,false
calibration,CAL-01,42,selected_analysis_instance,X2,8983,false
calibration,CAL-01,42,selected_analysis_instance,X3,834004,false
calibration,CAL-01,42,selected_analysis_instance,X4,68150,false
calibration,CAL-01,43,selected_analysis_instance,E2E,1507884,false
calibration,CAL-01,43,selected_analysis_instance,X1,100036,false
calibration,CAL-01,43,selected_analysis_instance,X2,3458,false
calibration,CAL-01,43,selected_analysis_instance,X3,840992,false
calibration,CAL-01,43,selected_analysis_instance,X4,513398,false
calibration,CAL-01,44,selected_analysis_instance,E2E,1052921,false
calibration,CAL-01,44,selected_analysis_instance,X1,100069,false
calibration,CAL-01,44,selected_analysis_instance,X2,124068,false
calibration,CAL-01,44,selected_analysis_instance,X3,54547,false
calibration,CAL-01,44,selected_analysis_instance,X4,63573,false
calibration,CAL-01,45,selected_analysis_instance,E2E,1058664,false
calibration,CAL-01,45,selected_analysis_instance,X1,100086,false
calibration,CAL-01,45,selected_analysis_instance,X2,7706,false
calibration,CAL-01,45,selected_analysis_instance,X3,837207,false
calibration,CAL-01,45,selected_analysis_instance,X4,63665,false
calibration,CAL-01,46,selected_analysis_instance,E2E,2516844,false
