split,coordinate_id,planned_session_index,actual_session_id,n_units,median_ns,maximum_ns,failure_count,lag1_pearson,lag1_spearman
calibration,E2E,7,session_007,150,1069410.0,1547098.0,0,-0.0094079760572883,0.102728283563003
calibration,E2E,8,session_008,150,1069833.0,1505888.0,0,-0.0138766937536468,-0.054526062224286
calibration,E2E,9,session_009,150,1069477.5,1096817.0,0,-0.0313050229410891,-0.125165971340468
calibration,E2E,10,session_010,150,1069726.5,2071405.0,0,-0.0112659142787526,0.0057410279432971
calibration,E2E,11,session_011,150,1069777.5,6071643.0,0,-0.0075217074809933,0.0357086496340434
calibration,E2E,12,session_012,150,1069908.5,1094487.0,0,-0.0346445042811353,0.0358734552393528
calibration,E2E,13,session_013,150,1069577.0,1112704.0,0,0.0078057563976711,-0.0292309617829889
calibration,E2E,14,session_014,150,1069825.5,1082464.0,0,-0.0050731172136029,0.0178116332938506
calibration,E2E,15,session_015,150,1069596.0,1541244.0,0,-0.0011824464248738,0.0535074560536335
calibration,E2E,16,session_016,150,1069723.0,1094461.0,0,-0.0046721666024669,-0.0373843642300018
calibration,E2E,17,session_017,150,1069952.0,1512651.0,0,-0.0135099060912897,0.0313786166853195
calibration,E2E,18,session_018,150,1069833.0,1335015.0,0,-0.0042901233469032,0.0471869493095107
calibration,E2E,19,session_019,150,1069797.0,2168983.0,0,-0.0153280695040921,0.0880514495816229
calibration,E2E,20,session_020,150,1069438.5,1254276.0,0,-0.0600845395849909,0.0215684247186608
validation,X1,1,session_021,175,100080.0,100250.0,0,0.024011733254295,0.0148839476977429
validation,X1,2,session_022,175,100153.0,100231.0,0,0.01806543814641,0.1039626216164436
validation,X1,3,session_023,175,100145.0,100208.0,0,0.1173170513679604,0.1066439235621718
validation,X1,4,session_024,175,100147.0,100215.0,0,0.0035319243275862,0.0542515918390395
validation,X1,5,session_025,175,100150.0,100233.0,0,-0.0275722947498538,-0.0412524460055587
validation,X1,6,session_026,175,100150.0,100220.0,0,-0.0620092476313897,-0.0308443973722571
validation,X1,7,session_027,175,100153.0,100205.0,0,0.1169066568369744,0.1218358208704989
validation,X1,8,session_028,175,100151.0,100215.0,0,0.0730947136996449,0.0337192606604827
validation,X1,9,session_029,175,100150.0,100223.0,0,-0.0582797150493752,0.0058052257290195
validation,X1,10,session_030,175,100151.0,100247.0,0,0.0671387927408191,0.0357528491569477
validation,X1,11,session_031,175,100148.0,100195.0,0,-0.0412178148574793,0.0069888588530858
validation,X1,12,session_032,175,100147.0,100213.0,0,0.0199236371314171,0.0655795437403904
validation,X1,13,session_033,175,100146.0,100203.0,0,-0.0274568677621887,-0.0321958624384864
validation,X1,14,session_034,175,100149.0,100194.0,0,-0.0722776217875431,-0.0868898451564732
validation,X1,15,session_035,175,100148.0,100234.0,0,0.1011398658608934,0.1208283884102541
validation,X1,16,session_036,175,100147.0,100204.0,0,-0.1717222879515616,-0.1372914958288718
validation,X1,17,session_037,175,100150.0,100212.0,0,0.0023246816604864,0.0073215145738796
validation,X1,18,session_038,175,100145.0,100209.0,0,0.1366076051573417,0.1013481248317775
validation,X1,19,session_039,175,100149.0,100229.0,0,-0.0089861011906552,0.010633842184316
validation,X1,20,session_040,175,100146.0,100203.0,0,0.1186844526050883,0.0936124797653445
validation,X2,1,session_021,175,21365.0,6030708.0,0,-0.0986224371415085,-0.0655054312604146
validation,X2,2,session_022,175,14917.0,980538.0,0,-0.0061759835271619,-0.0024653532163779
validation,X2,3,session_023,175,15000.0,119513.0,0,0.0081101996466009,0.0304659243056004
validation,X2,4,session_024,175,14958.0,163044.0,0,-0.0123385936669249,-0.1382872457475574
validation,X2,5,session_025,175,14922.0,1147548.0,0,-0.0033164055275945,-0.0162689088264539
validation,X2,6,session_026,175,15034.0,231244.0,0,-0.0039604520054335,0.064077798178513
validation,X2,7,session_027,175,14974.0,31759.0,0,0.0849335001592308,0.146791660686909
validation,X2,8,session_028,175,14872.0,23082.0,0,-0.1018548799594151,-0.0340662588678084
validation,X2,9,session_029,175,14969.0,18446.0,0,-0.0241695303808435,-0.0029739226506751
validation,X2,10,session_030,175,15021.0,1917380.0,0,-0.0062899203417465,-0.1095411330949796
validation,X2,11,session_031,175,15047.0,977722.0,0,-0.00697320715023,-0.0415653909149101
validation,X2,12,session_032,175,14948.0,1148892.0,0,-0.0061746867976628,0.0006742857923883
validation,X2,13,session_033,175,15073.0,151108.0,0,0.010797151276792,-0.00376607830117
validation,X2,14,session_034,175,14922.0,31566.0,0,-0.0246049988037453,-0.0182182453534647
validation,X2,15,session_035,175,15029.0,18821.0,0,-0.0045195918405664,-0.0894815192791545
