instance_id,source,stages,menu_size,gates,risk_budget,method,feasible,bound_ns,risk_sum,frontier_peak,runtime_ns,peak_rss_bytes,seed,selected_menu_ids,calendar_signature
syn_4_3_4_05,synthetic,4,3,4,0.01,pareto_dp,True,1719881,0.00925,3.0,45400,,13830053281037399959,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_06,synthetic,4,3,4,0.01,pareto_dp,True,1523129,0.00925,3.0,46100,,18083572688825669191,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_07,synthetic,4,3,4,0.01,pareto_dp,True,1538902,0.00925,3.0,48300,,13671559697961794169,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_08,synthetic,4,3,4,0.01,pareto_dp,True,1711813,0.00925,3.0,44900,,8115361544555011469,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_09,synthetic,4,3,4,0.01,pareto_dp,True,1703280,0.00925,3.0,47700,,14124960576887829149,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_10,synthetic,4,3,4,0.01,pareto_dp,True,1811395,0.00925,3.0,46600,,356138263553303609,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_11,synthetic,4,3,4,0.01,pareto_dp,True,1698247,0.00925,3.0,44500,,17453494205151395523,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_12,synthetic,4,3,4,0.01,pareto_dp,True,1490667,0.00925,3.0,44500,,15958050027781589206,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_13,synthetic,4,3,4,0.01,pareto_dp,True,1624022,0.00925,3.0,43900,,17856823141027513098,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_14,synthetic,4,3,4,0.01,pareto_dp,True,1044199,0.00925,4.0,48900,,10194873683455459726,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_15,synthetic,4,3,4,0.01,pareto_dp,True,1956264,0.00925,3.0,45000,,79921279438599797,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_16,synthetic,4,3,4,0.01,pareto_dp,True,720925,0.00925,4.0,48200,,11668055705041103832,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_17,synthetic,4,3,4,0.01,pareto_dp,True,1577008,0.00925,3.0,47300,,6758168492101546464,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_18,synthetic,4,3,4,0.01,pareto_dp,True,1592650,0.00925,3.0,46300,,12687934800418227649,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_19,synthetic,4,3,4,0.01,pareto_dp,True,1590003,0.00925,3.0,45400,,4118222023385891482,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_6_1_00,synthetic,4,6,1,0.01,pareto_dp,True,868533,0.01,9.0,100100,,8267431242662499836,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0040""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_6_1_01,synthetic,4,6,1,0.01,pareto_dp,True,1096056,0.01,7.0,90100,,3740369253576034583,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0040""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_6_1_02,synthetic,4,6,1,0.01,pareto_dp,True,1127511,0.01,6.0,89400,,17140485576185820072,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0040""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_6_1_03,synthetic,4,6,1,0.01,pareto_dp,True,820637,0.01,6.0,90200,,14949018899125947140,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0040""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_6_1_04,synthetic,4,6,1,0.01,pareto_dp,True,1121691,0.01,6.0,85400,,12116456455016559669,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0040""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_6_1_05,synthetic,4,6,1,0.01,pareto_dp,True,1161733,0.01,6.0,88900,,2314232146715433339,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0040""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_6_1_06,synthetic,4,6,1,0.01,pareto_dp,True,1039918,0.01,8.0,88200,,12724907686751230834,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0040""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_6_1_07,synthetic,4,6,1,0.01,pareto_dp,True,798814,0.01,6.0,86700,,15492401310251207875,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0025"", ""m3@0.0035""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_6_1_08,synthetic,4,6,1,0.01,pareto_dp,True,1107968,0.01,6.0,84300,,12460795196085724114,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0040""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_6_1_09,synthetic,4,6,1,0.01,pareto_dp,True,922273,0.01,6.0,85300,,12490599018404199915,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0040""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_6_1_10,synthetic,4,6,1,0.01,pareto_dp,True,571125,0.01,6.0,85000,,2590481441529691253,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0040""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
