instance_id,source,stages,menu_size,gates,risk_budget,method,feasible,bound_ns,risk_sum,frontier_peak,runtime_ns,peak_rss_bytes,seed,selected_menu_ids,calendar_signature
syn_4_3_1_10,synthetic,4,3,1,0.01,proportional_risk,True,1045884,0.008,,57900,,9111494899183805626,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_10,synthetic,4,3,1,0.01,greedy_gate_catching,True,871388,0.00925,,135500,,9111494899183805626,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_11,synthetic,4,3,1,0.01,pareto_dp,True,1421959,0.00925,3.0,43300,,17564603686548033103,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_11,synthetic,4,3,1,0.01,equal_risk,True,1579015,0.008,,38000,,17564603686548033103,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_11,synthetic,4,3,1,0.01,proportional_risk,True,1579015,0.008,,53600,,17564603686548033103,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_11,synthetic,4,3,1,0.01,greedy_gate_catching,True,1421959,0.00925,,136300,,17564603686548033103,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_12,synthetic,4,3,1,0.01,pareto_dp,True,1046863,0.00925,3.0,44300,,15342070657373713409,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_12,synthetic,4,3,1,0.01,equal_risk,True,1189642,0.008,,38100,,15342070657373713409,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_12,synthetic,4,3,1,0.01,proportional_risk,True,1189642,0.008,,55300,,15342070657373713409,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_12,synthetic,4,3,1,0.01,greedy_gate_catching,True,1046863,0.00925,,139100,,15342070657373713409,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_13,synthetic,4,3,1,0.01,pareto_dp,True,870706,0.00925,4.0,49900,,6550162264215980467,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_13,synthetic,4,3,1,0.01,equal_risk,True,1002248,0.008,,38600,,6550162264215980467,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_13,synthetic,4,3,1,0.01,proportional_risk,True,1002248,0.008,,60200,,6550162264215980467,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_13,synthetic,4,3,1,0.01,greedy_gate_catching,True,870706,0.00925,,137800,,6550162264215980467,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_14,synthetic,4,3,1,0.01,pareto_dp,True,1355862,0.00925,3.0,43800,,15519549800955992495,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_14,synthetic,4,3,1,0.01,equal_risk,True,1567657,0.008,,38000,,15519549800955992495,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_14,synthetic,4,3,1,0.01,proportional_risk,True,1567657,0.008,,90800,,15519549800955992495,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_14,synthetic,4,3,1,0.01,greedy_gate_catching,True,1355862,0.00925,,135700,,15519549800955992495,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_15,synthetic,4,3,1,0.01,pareto_dp,True,1329103,0.00925,4.0,49500,,7162269041708621202,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_15,synthetic,4,3,1,0.01,equal_risk,True,1604840,0.008,,37700,,7162269041708621202,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_15,synthetic,4,3,1,0.01,proportional_risk,True,1604840,0.008,,54500,,7162269041708621202,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_15,synthetic,4,3,1,0.01,greedy_gate_catching,True,1329103,0.00925,,135700,,7162269041708621202,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_16,synthetic,4,3,1,0.01,pareto_dp,True,1188912,0.00925,3.0,44300,,17612980923589086891,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_16,synthetic,4,3,1,0.01,equal_risk,True,1348058,0.008,,37400,,17612980923589086891,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_16,synthetic,4,3,1,0.01,proportional_risk,True,1348058,0.008,,53800,,17612980923589086891,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_16,synthetic,4,3,1,0.01,greedy_gate_catching,True,1188912,0.00925,,133100,,17612980923589086891,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_17,synthetic,4,3,1,0.01,pareto_dp,True,716280,0.00925,3.0,43500,,9602119372426234579,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_17,synthetic,4,3,1,0.01,equal_risk,True,774024,0.008,,36500,,9602119372426234579,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_17,synthetic,4,3,1,0.01,proportional_risk,True,774024,0.008,,52300,,9602119372426234579,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_17,synthetic,4,3,1,0.01,greedy_gate_catching,True,716280,0.00925,,135400,,9602119372426234579,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_18,synthetic,4,3,1,0.01,pareto_dp,True,860425,0.00925,3.0,45200,,3127612904611529279,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_18,synthetic,4,3,1,0.01,equal_risk,True,951665,0.008,,39400,,3127612904611529279,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_18,synthetic,4,3,1,0.01,proportional_risk,True,951665,0.008,,55100,,3127612904611529279,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_18,synthetic,4,3,1,0.01,greedy_gate_catching,True,860425,0.00925,,195100,,3127612904611529279,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_19,synthetic,4,3,1,0.01,pareto_dp,True,826678,0.00925,4.0,49700,,4514323210357745062,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_19,synthetic,4,3,1,0.01,equal_risk,True,923834,0.008,,39900,,4514323210357745062,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_19,synthetic,4,3,1,0.01,proportional_risk,True,923834,0.008,,52200,,4514323210357745062,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_19,synthetic,4,3,1,0.01,greedy_gate_catching,True,826678,0.00925,,137900,,4514323210357745062,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_00,synthetic,4,3,4,0.01,pareto_dp,True,1582967,0.00925,3.0,47700,,4573766533958328254,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_00,synthetic,4,3,4,0.01,equal_risk,True,1649507,0.008,,39800,,4573766533958328254,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_00,synthetic,4,3,4,0.01,proportional_risk,True,1649507,0.008,,56200,,4573766533958328254,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_00,synthetic,4,3,4,0.01,greedy_gate_catching,True,1582967,0.00925,,138100,,4573766533958328254,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
