phase_ns,run_id,instance_id,eligibility_ns,predicted_cycle,observed_cycle,reference_match,phase_bound_ns,maxwait_bound_ns,observed_e2e_ns,wait_ns,observed_wait_ns,reschedule_count,sweep
250000,9016,39,2601429937,2601,2601,True,311081,1061080,311081,0,58954,0,coarse
250000,9017,32,2759427530,2759,2759,True,302101,1052100,302101,0,58122,0,coarse
250000,9017,33,2760426738,2760,2760,True,302052,1052051,302052,0,58209,0,coarse
250000,9017,34,2761427769,2761,2761,True,302029,1052028,302029,0,58232,0,coarse
250000,9017,35,2762427735,2762,2762,True,301499,1051498,301499,0,58112,0,coarse
250000,9017,36,2763428056,2763,2763,True,302581,1052580,302581,0,58163,0,coarse
250000,9017,37,2764427155,2764,2764,True,300472,1050471,300472,0,58139,0,coarse
250000,9017,38,2765427684,2765,2765,True,301408,1051407,301408,0,58185,0,coarse
250000,9017,39,2766427415,2766,2766,True,301669,1051668,301669,0,58191,0,coarse
250000,9018,32,2925428885,2925,2925,True,319186,1069185,319186,0,59100,0,coarse
250000,9018,33,2926426783,2926,2926,True,313909,1063908,313909,0,58196,0,coarse
250000,9018,34,2927427094,2927,2927,True,316868,1066867,316868,0,58192,0,coarse
250000,9018,35,2928428155,2928,2928,True,312197,1062196,312197,0,58164,0,coarse
250000,9018,36,2929427362,2929,2929,True,306700,1056699,306700,0,57100,0,coarse
250000,9018,37,2930424372,2930,2930,True,298844,1048843,298844,0,57460,0,coarse
250000,9018,38,2931426353,2931,2931,True,298794,1048793,298794,0,57220,0,coarse
250000,9018,39,2932427095,2932,2932,True,301729,1051728,301729,0,58092,0,coarse
300000,9019,32,3102475217,3102,3102,True,294703,1044702,294703,0,55992,0,coarse
300000,9019,33,3103476053,3103,3103,True,295408,1045407,295408,0,56541,0,coarse
300000,9019,34,3104476995,3104,3104,True,294778,1044777,294778,0,55953,0,coarse
300000,9019,35,3105475945,3105,3105,True,294438,1044437,294438,0,55835,0,coarse
300000,9019,36,3106475357,3106,3106,True,291916,1041915,291916,0,55464,0,coarse
300000,9019,37,3110375121,3110,3110,True,3230960,3956080,3230960,24879,82826,0,coarse
300000,9019,38,3110594474,3110,3111,True,3227443,3977442,3227443,0,865856,1,coarse
300000,9019,39,3111580721,3111,3111,True,2394311,3144310,2394311,0,56032,0,coarse
300000,9020,32,3279475317,3279,3279,True,292638,1042637,292638,0,55952,0,coarse
300000,9020,33,3280475538,3280,3280,True,294963,1044962,294963,0,56567,0,coarse
300000,9020,34,3281476744,3281,3281,True,299492,1049491,299492,0,57282,0,coarse
300000,9020,35,3282476860,3282,3282,True,300293,1050292,300293,0,58111,0,coarse
300000,9020,36,3283476217,3283,3283,True,300000,1049999,300000,0,58367,0,coarse
300000,9020,37,3284492719,3284,3284,True,340021,1090020,340021,0,69941,0,coarse
300000,9020,38,3285485767,3285,3285,True,329813,1079812,329813,0,69330,0,coarse
300000,9020,39,3286477769,3286,3286,True,319209,1069208,319209,0,58067,0,coarse
300000,9021,32,3443476019,3443,3443,True,292711,1042710,292711,0,54357,0,coarse
300000,9021,33,3444474787,3444,3444,True,288378,1038377,288378,0,54340,0,coarse
300000,9021,34,3445474002,3445,3445,True,290903,1040902,290903,0,54430,0,coarse
300000,9021,35,3446475168,3446,3446,True,302670,1052669,302670,0,54687,0,coarse
300000,9021,36,3447475385,3447,3447,True,299811,1049810,299811,0,54132,0,coarse
300000,9021,37,3448473600,3448,3448,True,291506,1041505,291506,0,53592,0,coarse
300000,9021,38,3449473081,3449,3449,True,287369,1037368,287369,0,53566,0,coarse
300000,9021,39,3450473584,3450,3450,True,284730,1034729,284730,0,52950,0,coarse
350000,9022,32,3595528062,3595,3595,True,297990,1047989,297990,0,56504,0,coarse
350000,9022,33,3596526623,3596,3596,True,296703,1046702,296703,0,56512,0,coarse
350000,9022,34,3597523434,3597,3597,True,291541,1041540,291541,0,55439,0,coarse
350000,9022,35,3598526709,3598,3598,True,296359,1046358,296359,0,56749,0,coarse
350000,9022,36,3599525690,3599,3599,True,295257,1045256,295257,0,56503,0,coarse
350000,9022,37,3600529590,3600,3600,True,2403514,3153513,2403514,0,57071,0,coarse
350000,9022,38,3601528579,3601,3601,True,1427752,2177751,1427752,0,58132,0,coarse
350000,9022,39,3602529637,3602,3602,True,435138,1185137,435138,0,58110,0,coarse
350000,9023,32,3768531298,3768,3768,True,305744,1055743,305744,0,58181,0,coarse
350000,9023,33,3769529181,3769,3769,True,1775123,2525122,1775123,0,57960,0,coarse
350000,9023,34,3770528040,3770,3770,True,787965,1537964,787965,0,57298,0,coarse
350000,9023,35,3771528385,3771,3771,True,314028,1064027,314028,0,58732,0,coarse
350000,9023,36,3772528836,3772,3772,True,306914,1056913,306914,0,58249,0,coarse
350000,9023,37,3773526989,3773,3773,True,304568,1054567,304568,0,58313,0,coarse
350000,9023,38,3774528767,3774,3774,True,311146,1061145,311146,0,58183,0,coarse
350000,9023,39,3775528728,3775,3775,True,315118,1065117,315118,0,58779,0,coarse
350000,9024,32,3988521810,3988,3988,True,274245,1024244,274245,0,51933,0,coarse
350000,9024,33,3989522404,3989,3989,True,283174,1033173,283174,0,51686,0,coarse
350000,9024,34,3990520505,3990,3990,True,278033,1028032,278033,0,51811,0,coarse
350000,9024,35,3991521119,3991,3991,True,277400,1027399,277400,0,51930,0,coarse
350000,9024,36,3992520738,3992,3992,True,277865,1027864,277865,0,52084,0,coarse
350000,9024,37,3993520844,3993,3993,True,278203,1028202,278203,0,52278,0,coarse
350000,9024,38,3994521745,3994,3994,True,279820,1029819,279820,0,52493,0,coarse
350000,9024,39,3995522492,3995,3995,True,280292,1030291,280292,0,52653,0,coarse
400000,9025,32,4143576966,4143,4143,True,301680,1051679,301680,0,58144,0,coarse
400000,9025,33,4144577111,4144,4144,True,301073,1051072,301073,0,58074,0,coarse
400000,9025,34,4145578562,4145,4145,True,300585,1050584,300585,0,58062,0,coarse
400000,9025,35,4146577553,4146,4146,True,301505,1051504,301505,0,58087,0,coarse
400000,9025,36,4147580605,4147,4147,True,317755,1067754,317755,0,59868,0,coarse
400000,9025,37,4148580843,4148,4148,True,318961,1068960,318961,0,61851,0,coarse
400000,9025,38,4149705588,4150,4150,True,1140306,1195893,1140306,694412,756540,0,coarse
400000,9025,39,4150590942,4150,4150,True,315339,1065338,315339,0,58652,0,coarse
400000,9026,32,4303579056,4303,4303,True,302222,1052221,302222,0,57990,0,coarse
400000,9026,33,4304578902,4304,4304,True,307865,1057864,307865,0,61849,0,coarse
400000,9026,34,4305578748,4305,4305,True,303536,1053535,303536,0,58222,0,coarse
400000,9026,35,4306578703,4306,4306,True,303294,1053293,303294,0,58282,0,coarse
400000,9026,36,4307577614,4307,4307,True,301664,1051663,301664,0,58112,0,coarse
400000,9026,37,4308578296,4308,4308,True,303800,1053799,303800,0,58386,0,coarse
400000,9026,38,4309578731,4309,4309,True,302972,1052971,302972,0,59125,0,coarse
400000,9026,39,4310577875,4310,4310,True,305331,1055330,305331,0,58179,0,coarse
400000,9027,32,4513574145,4513,4513,True,287635,1037634,287635,0,54435,0,coarse
400000,9027,33,4514574707,4514,4514,True,288776,1038775,288776,0,54724,0,coarse
400000,9027,34,4515575202,4515,4515,True,290899,1040898,290899,0,55050,0,coarse
400000,9027,35,4516575602,4516,4516,True,291297,1041296,291297,0,55421,0,coarse
400000,9027,36,4517576669,4517,4517,True,296503,1046502,296503,0,56517,0,coarse
400000,9027,37,4518575661,4518,4518,True,295797,1045796,295797,0,56615,0,coarse
400000,9027,38,4519576022,4519,4519,True,298250,1048249,298250,0,57213,0,coarse
400000,9027,39,4520577377,4520,4520,True,301735,1051734,301735,0,58193,0,coarse
450000,9028,32,4678616815,4678,4679,True,1069884,1819883,1069884,0,841960,1,coarse
450000,9028,33,4679617180,4679,4680,True,1079584,1829583,1079584,0,842167,1,coarse
450000,9028,34,4680620968,4680,4681,True,1070159,1820158,1070159,0,837907,1,coarse
450000,9028,35,4681618933,4681,4682,True,1069907,1819906,1069907,0,839859,1,coarse
450000,9028,36,4682617999,4682,4683,True,1071864,1821863,1071864,0,841110,1,coarse
450000,9028,37,4683617485,4683,4684,True,1071992,1821991,1071992,0,842044,1,coarse
450000,9028,38,4684615968,4684,4685,True,1071777,1821776,1071777,0,842311,1,coarse
450000,9028,39,4685615307,4685,4686,True,1067530,1817529,1067530,0,843897,1,coarse
450000,9029,32,4841619859,4841,4842,True,1070413,1820412,1070413,0,839338,1,coarse
450000,9029,33,4842620948,4842,4843,True,1071894,1821893,1071894,0,838258,1,coarse
450000,9029,34,4843621737,4843,4844,True,1074145,1824144,1074145,0,838005,1,coarse
450000,9029,35,4844624027,4844,4845,True,1073365,1823364,1073365,0,835275,1,coarse
450000,9029,36,4845623240,4845,4846,True,1076225,1826224,1076225,0,835460,1,coarse
450000,9029,37,4846625875,4846,4847,True,1073420,1823419,1073420,0,832522,1,coarse
450000,9029,38,4847624877,4847,4848,True,1074357,1824356,1074357,0,833168,1,coarse
450000,9029,39,4848626821,4848,4849,True,1075506,1825505,1075506,0,833205,1,coarse
450000,9030,32,5009624536,5009,5010,True,1076847,1826846,1076847,0,835202,1,coarse
450000,9030,33,5010624096,5010,5011,True,1076132,1826131,1076132,0,834842,1,coarse
450000,9030,34,5011624644,5011,5012,True,1082691,1832690,1082691,0,834588,1,coarse
450000,9030,35,5012626628,5012,5013,True,1084525,1834524,1084525,0,834104,1,coarse
450000,9030,36,5013624917,5013,5014,True,1084576,1834575,1084576,0,835006,1,coarse
450000,9030,37,5014627999,5014,5015,True,1084053,1834052,1084053,0,832627,1,coarse
450000,9030,38,5015627794,5015,5016,True,1084904,1834903,1084904,0,831462,1,coarse
450000,9030,39,5016626268,5016,5017,True,1087514,1837513,1087514,0,834055,1,coarse
500000,9031,32,5178667820,5179,5179,True,1020320,1038139,1020320,732180,791217,0,coarse
500000,9031,33,5179669489,5180,5180,True,1021417,1040905,1021417,730511,789374,0,coarse
500000,9031,34,5180670375,5181,5181,True,1024312,1044686,1024312,729625,789089,0,coarse
500000,9031,35,5181670956,5182,5182,True,1024428,1045383,1024428,729044,788093,0,coarse
500000,9031,36,5182673446,5183,5183,True,1024430,1047875,1024430,726554,785441,0,coarse
500000,9031,37,5183673930,5184,5184,True,1026518,1050447,1026518,726070,784813,0,coarse
500000,9031,38,5184674573,5185,5185,True,1033118,1057690,1033118,725427,784716,0,coarse
500000,9031,39,5185675387,5186,5186,True,1033382,1058768,1033382,724613,784225,0,coarse
500000,9032,32,5387670693,5388,5388,True,1024527,1045219,1024527,729307,788807,0,coarse
500000,9032,33,5388669625,5389,5389,True,1021333,1040957,1021333,730375,789471,0,coarse
500000,9032,34,5389669329,5390,5390,True,1014329,1033657,1014329,730671,789257,0,coarse
500000,9032,35,5390715662,5391,5391,True,969194,1034855,969194,684338,742756,0,coarse
500000,9032,36,5391668228,5392,5392,True,1015030,1033257,1015030,731772,790562,0,coarse
500000,9032,37,5392665448,5393,5393,True,1022397,1037844,1022397,734552,793555,0,coarse
500000,9032,38,5393664519,5394,5394,True,1014888,1029406,1014888,735481,794234,0,coarse
500000,9032,39,5394665341,5395,5395,True,1017771,1033111,1017771,734659,795022,0,coarse
500000,9033,32,5546671680,5547,5547,True,1019768,1041447,1019768,728320,788029,0,coarse
500000,9033,33,5547668143,5548,5548,True,1020255,1038397,1020255,731857,791104,0,coarse
500000,9033,34,5548670605,5549,5549,True,1022407,1043011,1022407,729395,788589,0,coarse
500000,9033,35,5549672347,5550,5550,True,1021779,1044125,1021779,727653,786779,0,coarse
500000,9033,36,5550672199,5551,5551,True,1022745,1044943,1022745,727801,786825,0,coarse
500000,9033,37,5551673463,5552,5552,True,1025434,1048896,1025434,726537,786102,0,coarse
500000,9033,38,5552675017,5553,5553,True,1026953,1051969,1026953,724983,784337,0,coarse
500000,9033,39,5553864710,5554,5554,True,842503,1057212,842503,535290,594636,0,coarse
550000,9034,32,5708726933,5709,5709,True,976923,1053855,976923,673067,732021,0,coarse
550000,9034,33,5709727107,5710,5710,True,977090,1054196,977090,672893,732735,0,coarse
550000,9034,34,5710727672,5711,5711,True,983254,1060925,983254,672328,730945,0,coarse
550000,9034,35,5711728684,5712,5712,True,981117,1059800,981117,671316,730463,0,coarse
550000,9034,36,5712728668,5713,5713,True,978426,1057093,978426,671332,729901,0,coarse
550000,9034,37,5713727455,5714,5714,True,975892,1053346,975892,672545,732312,0,coarse
550000,9034,38,5714728563,5715,5715,True,976476,1055038,976476,671437,731305,0,coarse
550000,9034,39,5715725495,5716,5716,True,974601,1050095,974601,674505,734721,0,coarse
550000,9035,32,5877723852,5878,5878,True,1039338,1113189,1039338,676148,735763,0,coarse
550000,9035,33,5878723087,5879,5879,True,980916,1054002,980916,676913,736346,0,coarse
550000,9035,34,5879725212,5880,5880,True,973533,1048744,973533,674788,734137,0,coarse
550000,9035,35,5880723684,5881,5881,True,974633,1048316,974633,676316,735573,0,coarse
550000,9035,36,5881724864,5882,5882,True,973988,1048851,973988,675136,733580,0,coarse
550000,9035,37,5882725290,5883,5883,True,975991,1051280,975991,674710,733893,0,coarse
550000,9035,38,5883727008,5884,5884,True,977258,1054265,977258,672992,731977,0,coarse
550000,9035,39,5884726557,5885,5885,True,978851,1055407,978851,673443,734425,0,coarse
550000,9036,32,6086724803,6087,6087,True,976275,1051077,976275,675197,733805,0,coarse
550000,9036,33,6087724532,6088,6088,True,975393,1049924,975393,675468,734536,0,coarse
550000,9036,34,6088723909,6089,6089,True,975762,1049670,975762,676091,735144,0,coarse
550000,9036,35,6089724387,6090,6090,True,985583,1059969,985583,675613,735358,0,coarse
550000,9036,36,6090725520,6091,6091,True,981617,1057136,981617,674480,733716,0,coarse
550000,9036,37,6091724908,6092,6092,True,978398,1053305,978398,675092,735049,0,coarse
550000,9036,38,6092726146,6093,6093,True,975157,1051302,975157,673854,733240,0,coarse
550000,9036,39,6093724563,6094,6094,True,977429,1051991,977429,675437,735862,0,coarse
600000,9037,32,6254777511,6255,6255,True,933326,1060836,933326,622489,681712,0,coarse
600000,9037,33,6255776015,6256,6256,True,929948,1055962,929948,623985,683372,0,coarse
600000,9037,34,6256776974,6257,6257,True,940205,1067178,940205,623026,682209,0,coarse
600000,9037,35,6257775730,6258,6258,True,937269,1062998,937269,624270,683859,0,coarse
600000,9037,36,6258778614,6259,6259,True,933061,1061674,933061,621386,679935,0,coarse
